연간 예산	annual budget
염려하다	To worry, be anxious about
결심하다	To resolve or  be determined
엉뚱하다	Be extraordinary, extravagant ; to misdirect somebody`s attention
겉	The outer surface
달아나다	Escape, flee
터뜨리다	Break, burst, explode
긴장	Tension
비판하다	To criticize
과장	The department/section head
권하다	1) advise or  persuade 2) recommend
안전	Safety
없이	Without
그런	Such a
포도	grape(s)
고프다	Hungry or  famished
산책	A walk, stroll
일주일	One whole day
질문	A question
홀로서기	becoming independent "standing alone"
전화점	turning point
재원	finances, source of revenue, economic resources
판례	a judicial precedent
도모하다	to plan, to aim, to promote
노령연금	an old aged pension
축사	congratulatory message
결식이동	underfed children
기본권	basic human rights
중증질환	a serious disease
공공부채	public debt
뇌병변	brain lesions
경기진작	boosting of the economy
민생안정	the stabilization of people's lives
중앙집권	centralized authoritarian rule
일회성	one time event, single shot
확연하다	to be definite, to be clear, to be plain
몸에 배다	to get used to
근대화	modernization
비화되다	to escalate into
폐허	ruins
인접성	proximity
기틀	framework
길을 트다	to pave the way
현안	pending issue
각축	intense competition
보완적	complementary
무상원조	free aid
입각하다	to be based on, to be grounded in
공동운명체	community of common destiny
서명식	signing ceremony
적대적	hostile
국익	national interest
위상	status
연고지	related place
능통하다	to be proficient in
원년	first year
옹색하다	to be hard up, to be poor
역군	working force
수렴하다	to collect, gather
공통인식	common awareness
국력	national power
변방	frontier, border area
국운	fate of a country
대담하다	to be bold, brave
포괄적	comprehensive, inclusive
옹졸하다	to be narrow minded, to be petty
강경하다	to be firm, tough
기축	an axis
시너지효과	synergy effect
초석	a cornerstone, foundation
곤혹스럽다	to be perplexed, to be puzzled, to be embarrassed
제치다	to pass (others in a competition or race), to leave others behind
기조연설	a keynote speech
파행	limping, crippled, chaotic
교육감	superintendent of education
-지사	the governor of a province
꼬집다	to make cynical remarks
유소년	children, youth
(무)성의	sincerity (insincerity)
기호품	an item of personal preference
선언식	declaration ceremony
소상공인	small business and factory owners
특수학교	special education school
쪽방촌	an area with many one room households, a poor area
체험기	a story of one's personal experiences
일벌레	workaholic, work worm
농림	agriculture and forestry
얄팍하다	to be rather thin, to be shallow, superficial
손에 쥐다	to get, to have
발상	idea, thinking
덕을 보다	to benefit (from/of)
친선경기	a goodwill match
민선	elected by people "civilian election"
의식주	food, clothing, shelter, necessities of life
자진	voluntary
속셈	hidden agenda
장학관	school inspector, commissioner
상차림	table setting
혼전	intense battle, "chaotic war"
황도	yellow peach
용지	a blank form, paper
야당	opposing party
여당	ruling party
분열	division, disunion
소모적	wasteful
역대	successive generations (of the past), historical generation
풀뿌리	voluntarily organized "grass roots"
재외국민	a Korean expatriate
납세	tax payment
선거인명부	voting roster
부정선거	rigged election
참정권	suffrage
내정	internal affairs
미비하다	to be incomplete, inadequate
면화	cotton
자구책	plan to save oneself
맞먹다	to be equal, to match
시세	market price
대란	crisis, serious disturbance, great commotion
고국	one's homeland
악순환	vicious cycle
원두	coffee beans
향후	henceforth, from now on
미화	US currency
원소	chemical element
희토류	rare earth elements
고질적	chronic, incorrigible
식민	colonization
이윤	profit, gain
치솟다	to soar, skyrocket
신흥	new, emerging
공동성명	a joint statement
겁내다	to fear; to be scared of
힘을 얻다	to be encouraged "gain strength"
횡보세	flat market trend
재래시장	a traditional market; open air market
의회	an assembly; The National Assembly
군수산업	a war industry; armaments industry
체감경기	the business sentiment; economic condition felt by households or people
마름병	blight "drying disease"
유럽연합	European Union (EU)
공공지출	public expenditure
더디다	to be slow; to be tardy
굶어죽다	to starve to death
구원투수	a relief pitcher
흉년	a bad year; unlucky year
공공사업	a public undertaking
유럽공동체	European Community (EC)
카리브 해	the Caribbean Sea
북미 교역	trade between the US and North Korea
농기계	a farming machine
꽁치	a mackerel; a pike
주춤하다	to falter; to slow down
이바지하다	to contribute
찹쌀	glutinous rice; sweet rice
통관절차	customs clearance; a customs procedure
기발하다	to be brilliant; to be ingenious
수산자원	marine (sea) resources
응하다	to accept; to accede; to respond
민어	a croaker (fish)
새해 벽두	the very beginning of a New Year's Day
증류식	by distillation method
범용 제품	an item for wide/general use
소령	a small amount
매물	an item for sale
신심	faith; trust
전람회	an exhibit; exhibition
토지	land(used for farming or residence)
참관자	an observer; a visitor
말끔하다	to be neat; to be tidy
꽃게	a blue crab "a flower crab"
최저치	the lowest record
농수산업	agriculture and fisheries
친미	Pro-American
도수	proof (of liquor)
광물자원	mineral resources
강냉이	corn
감귤	a tangerine; a mandarin
단계적	phased; in stages
농수산물	agriculture and marine products
민간 차원	private/civilian level; nongovernmental
성황리에	successfully
과도하다	to be excessive
냉소주의	cynicism
직위	one's position or office
밀림	a jungle; a dense forest
지점장	a manager of a branch
돋다	to come up; to bud; to sprout
고달프다	to be weary; to be exhausted
수두룩하다	(colloquial) to be lots of
일터	a workplace
움츠리다	to flinch; to cower
탓하다	to blame
기조	a central fact; a basis
씁쓸하다	to be (somewhat) bitter
딸리다	(colloquial) to be short of (power; money; capacity; etc.)
서럽다	to be (vexed and) sad
호조	a favorable (economic) trend
공론	public or general opinion
가명	a pseudonym; an alias
중견	mid-level; of middle standing
노숙자	a homeless person
외환	foreign currency
광범위하다	to be wide; to be broad
활력	vitality; vigor
중산층	the middle class
저조하다	to be low; to be poor
하소연하다	to complain; to appeal
학자금	tuition; school expenses
내수	domestic demand/consumption
금리	interest rate; lending rate
끌어들이다	to induce or get someone involved in
사금융	private loan
금융감독원	Financial Supervisor Service (FSS)
누리집	homepage
소매(가)	retail (price)
대부업체	a lending company
종잣돈	seed money
급등하다	to rise rapidly
건전성	being sound; soundness
원리금	principal and interest
한몫하다	to play a role
고무적이다	to be encouraging
사균구동	four wheel drive
세제혜택	tax benefits
감세	tax reduction
방사성	radioactivity
원료	raw material
인접지	adjacent land
수급구조	the structure of supply and demand
꺼내 늘다	to take out and lift
경유	diesel
실시협약	an agreement to install
조직위원회	organizing committee
하수열	heat produced from sewage
세계일주	trip around the world
관건	key, something crucial
망가뜨리다	to break, ruin
애를 먹다	to have a hard time
소각열	heat produced from incineration
매장량	the amount of reserves deposit
고성능	high performance, high powered
정부부처	a government department
원가	production cost
동력원	source of power
정유	oil refining
설비	facilities and equipment
청정	clean and clear
금성	venus
극단적	extreme, radical
명왕성	pluto
수정란	fertilized egg
종주국	country of origin
골수	bone marrow
덜어 주다	to relieve
출원	registering (a patent)
성서	bible
금속활자	movable type printing press
보수진영	conservative side
모형	model
인권론사	human rights activist
평면	flat surface
토성	saturn
인권 침해	infringement on human rights
해왕성	naptune
필적하다	equal, rival
해성	moving planet
발사체	projectile
무병장수	disease-free longevity
임상치료	clinical treatment
무인항공기	unmanned aircraft
난자	ovum, egg
제한적	limited, restrictive
위성체	a satellite (body)
어안 렌즈	fish-eye camera lens
얽매다	to bind, tie up, fasten
선두주자	front-runner
탓줄	umbilical cord
타원	oval
태양계	solar system
굵기	thickness
시야각	visibility angle
멀티탭	power strip, multi-tap
동력기	motor
발명특허	patent for an invention
총회	general assembly
